"Pesticide","SES_Variable","SES_P_value","Significant","N","N_SC","N_Time","Filters"
"XDIFLUFENZOPYR","Income",0.705577245544854,FALSE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XDIFLUFENZOPYR","home_value",0.570194873983987,FALSE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XDIFLUFENZOPYR","rent",0.277668482411949,FALSE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XDIFLUFENZOPYR","Poverty_150",0.882623403052784,FALSE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XDIFLUFENZOPYR","Unemployed",0.441324877858866,FALSE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XDIFLUFENZOPYR","Working_class",0.814746221728073,FALSE,1084,84,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","Education.index",0.0859247457597296,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","Income",0.899872759349919,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","home_value",0.0675335684686209,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","rent",0.099063955881536,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","Poverty_150",0.0753229228091433,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","Unemployed",0.149504297799308,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
"XFENHEXAMID","Working_class",0.878016008877928,FALSE,266,21,14,"GroupFilter=TRUE;MinGroup=10;Top=TRUE;TopPct=0.05;Bottom=FALSE;BottomPct=0.05"
