"Pesticide1","Pesticide2","SES_Adjusted","Effect","P_value","Significant","Included_SES","N_obs","N_years","N_SC","Filter_Description"
"XATRAZINE","XACETOCHLOR","Poverty_150",0.48369417881352,0.0383801655137239,TRUE,"Poverty_150",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","Unemployed",0.52633093732566,0.0239659081265824,TRUE,"Unemployed",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XACETOCHLOR","Working_class",0.489906370181767,0.034983265735684,TRUE,"Working_class",1526,19,101,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","NULL",0.310357760799556,0.000989243375616071,TRUE,"None",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","NULL+Pesti2",0.27740739861652,0.00483537640177996,TRUE,"None",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","Education.index",0.227504946372994,0.0196002246803203,TRUE,"Education.index",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","Income",0.271462275724851,0.00587742984027023,TRUE,"Income",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","home_value",0.241057019096678,0.0241072863710168,TRUE,"home_value",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","rent",0.221660337368811,0.0369888937669204,TRUE,"rent",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","Poverty_150",0.303239574505641,0.00336083504693739,TRUE,"Poverty_150",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","Unemployed",0.337258539221648,0.00281883379162069,TRUE,"Unemployed",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","Working_class",0.265436359915031,0.00893411450838423,TRUE,"Working_class",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XDIAZINON","Combined_SES",0.227504946372994,0.0196002246803203,TRUE,"Education.index",1682,21,102,"SC≥10|Top5%"
"XATRAZINE","XESFENVALERATE","NULL",0.272347191763708,0.00159207940223368,TRUE,"None",1937,21,100,"SC≥10|Top5%"
"XATRAZINE","XESFENVALERATE","NULL+Pesti2",0.185606428703539,0.155184477274791,FALSE,"None",1937,21,100,"SC≥10|Top5%"
"XATRAZINE","XESFENVALERATE","Education.index",0.13943349718363,0.281600172007951,FALSE,"Education.index",1937,21,100,"SC≥10|Top5%"
"XATRAZINE","XESFENVALERATE","Income",0.165299352814788,0.209832091744674,FALSE,"Income",1937,21,100,"SC≥10|Top5%"
